suite_bundle,stream_name,family,program_name,space,native_max_steps,first_failure_horizon_multiplier,first_failure_type,first_failure_read_step,decomposition_passes_at_failure_horizon
c3d_real,alternating_offset_2048_memory,alternating_offset_2048,alternating_offset_2048,memory,223,1,tie_collapse,25,True
c3d_real,alternating_offset_256_memory,alternating_offset_256,alternating_offset_256,memory,223,16,tie_collapse,47,True
c3d_real,loop_offset_1024_memory,loop_offset_1024,loop_offset_1024,memory,204,1,tie_collapse,43,True
c3d_real,loop_offset_256_memory,loop_offset_256,loop_offset_256,memory,204,16,tie_collapse,43,True
c3d_real,loop_offset_4096_memory,loop_offset_4096,loop_offset_4096,memory,204,1,tie_collapse,7,True
c3d_real,ping_pong_offset_2048_memory,ping_pong_offset_2048,ping_pong_offset_2048,memory,15,4,tie_collapse,15,True
c3d_real,ping_pong_offset_512_memory,ping_pong_offset_512,ping_pong_offset_512,memory,15,64,tie_collapse,15,True
c3d_real,ping_pong_offset_8192_memory,ping_pong_offset_8192,ping_pong_offset_8192,memory,15,1,tie_collapse,4,True
c3e_generalized,flagged_indirect_accumulator_10_a1024_memory,flagged_indirect_accumulator,flagged_indirect_accumulator_10_a1024,memory,212,1,tie_collapse,70,True
c3e_generalized,hotspot_memory_rewrite_12_a2048_memory,hotspot_memory_rewrite,hotspot_memory_rewrite_12_a2048,memory,269,1,tie_collapse,30,True
c3e_generalized,selector_checkpoint_bank_9_a1536_memory,selector_checkpoint_bank,selector_checkpoint_bank_9_a1536,memory,304,1,tie_collapse,29,True
c3e_generalized,stack_fanout_sum_256_v1_stack,stack_fanout_sum,stack_fanout_sum_256_v1,stack,510,4,tie_collapse,257,True
