program_name,suite,comparison_mode,profile_step_count,verification_median_seconds,lowering_only_median_seconds,lowered_exec_only_median_seconds,lowered_total_median_seconds,bytecode_median_seconds,spec_median_seconds,lowering_share_of_lowered_total,lowered_exec_share_of_lowered_total,lowered_total_ns_per_step,lowered_exec_only_ns_per_step,bytecode_ns_per_step,spec_ns_per_step,lowered_over_best_reference,dominant_lowered_component,is_lagging_vs_best_reference,verification_passed
bytecode_arithmetic_smoke,smoke,short_exact_trace,4,2.41999514400959e-05,4.900037311017513e-06,3.779993858188391e-05,5.080003757029772e-05,3.709993325173855e-05,2.5099958293139935e-05,0.09645735604499861,0.7440927288602077,12700.00939257443,9449.984645470977,9274.983312934637,6274.989573284984,2.023909242278776,lowered_exec_only,True,True
bytecode_eq_branch_true,smoke,short_exact_trace,6,5.959998816251755e-05,7.899943739175797e-06,3.569992259144783e-05,7.199996616691351e-05,5.689996760338545e-05,4.229997284710407e-05,0.10972149238045192,0.49583249120821377,11999.994361152252,5949.987098574638,9483.327933897575,7049.995474517345,1.7021279523550037,lowered_exec_only,True,True
bytecode_eq_branch_false,smoke,short_exact_trace,6,6.389990448951721e-05,7.999944500625134e-06,5.859998054802418e-05,6.0999998822808266e-05,5.6999968364834785e-05,4.2500090785324574e-05,0.13114663368868634,0.9606554373590134,10166.666470468044,9766.663424670696,9499.994727472464,7083.348464220762,1.4352910239869834,lowered_exec_only,True,True
bytecode_call_add_halt,smoke,short_exact_trace,6,5.259993486106396e-05,6.600050255656242e-06,6.290001329034567e-05,7.00000673532486e-05,6.180000491440296e-05,4.20999713242054e-05,0.09428634150235492,0.8985707538383758,11666.6778922081,10483.335548390945,10300.00081906716,7016.661887367566,1.6627105708502472,lowered_exec_only,True,True
bytecode_branch_then_call_true,smoke,short_exact_trace,10,0.00011689995881170034,1.1600088328123093e-05,0.00011249992530792952,0.00012360000982880592,0.00010069995187222958,5.979998968541622e-05,0.09385183985171176,0.910193498072931,12360.000982880592,11249.992530792952,10069.995187222958,5979.998968541622,2.06689015297521,lowered_exec_only,True,True
bytecode_branch_then_call_false,smoke,short_exact_trace,10,0.00012829992920160294,1.179997343569994e-05,9.290000889450312e-05,0.00010969990398734808,9.700004011392593e-05,6.290001329034567e-05,0.10756594132535299,0.8468558815258167,10969.990398734808,9290.000889450312,9700.004011392593,6290.001329034567,1.7440362608665074,lowered_exec_only,True,True
bytecode_call_chain_smoke,smoke,short_exact_trace,10,8.270004764199257e-05,9.999959729611874e-06,8.979998528957367e-05,0.00010960001964122057,8.829997386783361e-05,5.609996151179075e-05,0.09124049213081425,0.8193427846412529,10960.001964122057,8979.998528957367,8829.997386783361,5609.996151179075,1.9536558793928138,lowered_exec_only,True,True
bytecode_static_memory_roundtrip,memory,short_exact_trace,4,2.7399975806474686e-05,4.700035788118839e-06,3.6499928683042526e-05,4.070007707923651e-05,3.579992335289717e-05,2.5799963623285294e-05,0.11547977609400162,0.8968024461472894,10175.019269809127,9124.982170760632,8949.980838224292,6449.990905821323,1.5775245916433536,lowered_exec_only,True,True
bytecode_indirect_memory_roundtrip,memory,short_exact_trace,6,4.009995609521866e-05,6.3999323174357414e-06,5.330005660653114e-05,7.050007116049528e-05,5.749997217208147e-05,4.170008469372988e-05,0.09077909017802445,0.7560284086124134,11750.011860082546,8883.34276775519,9583.328695346912,6950.014115621646,1.6906457547578035,lowered_exec_only,True,True
bytecode_dynamic_latest_write,memory,medium_exact_trace,9,6.470002699643373e-05,9.699957445263863e-06,8.430005982518196e-05,5.889998283237219e-05,7.970002479851246e-05,3.520003519952297e-05,0.1646852338288398,1.4312408216670915,6544.4425369302435,9366.673313909107,8855.55831094583,3911.1150221692187,1.6732932935581384,lowered_exec_only,True,True
