program_name,suite,comparison_mode,length_bucket,success_target,trace_match,final_state_match,status_label,bytecode_instruction_count,lowered_instruction_count,instruction_count_match,verifier_passed,first_divergence_step,failure_class,failure_reason
bytecode_iterated_helper_accumulator_20_a128_b129,control_flow,long_exact_final_state,long,exact_final_state,True,True,exact_final_state_match,21,21,True,True,,,
bytecode_subroutine_braid_long_12_a160,control_flow,long_exact_final_state,long,exact_final_state,True,True,exact_final_state_match,40,40,True,True,,,
bytecode_countdown_helper_call_6_a48,control_flow,medium_exact_trace,medium,exact_trace,True,True,exact_trace_match,15,15,True,True,,,
bytecode_loop_with_subroutine_update_8_a64_b65,control_flow,medium_exact_trace,medium,exact_trace,True,True,exact_trace_match,21,21,True,True,,,
bytecode_subroutine_braid_6_a80,control_flow,medium_exact_trace,medium,exact_trace,True,True,exact_trace_match,40,40,True,True,,,
bytecode_accumulator_12,loops,long_exact_final_state,long,exact_final_state,True,True,exact_final_state_match,19,19,True,True,,,
bytecode_checkpoint_replay_long_8_a96,loops,long_exact_final_state,long,exact_final_state,True,True,exact_final_state_match,70,70,True,True,,,
bytecode_indirect_counter_bank_12_a32_b33,loops,long_exact_final_state,long,exact_final_state,True,True,exact_final_state_match,26,26,True,True,,,
bytecode_stack_memory_braid_8_a64,loops,long_exact_final_state,long,exact_final_state,True,True,exact_final_state_match,45,45,True,True,,,
bytecode_alternating_memory_loop_6_a16,loops,medium_exact_trace,medium,exact_trace,True,True,exact_trace_match,37,37,True,True,,,
bytecode_countdown_6,loops,medium_exact_trace,medium,exact_trace,True,True,exact_trace_match,10,10,True,True,,,
bytecode_selector_checkpoint_bank_6_a32,loops,medium_exact_trace,medium,exact_trace,True,True,exact_trace_match,70,70,True,True,,,
bytecode_dynamic_latest_write,memory,medium_exact_trace,medium,exact_trace,True,True,exact_trace_match,9,9,True,True,,,
bytecode_indirect_memory_roundtrip,memory,short_exact_trace,short,exact_trace,True,True,exact_trace_match,6,6,True,True,,,
bytecode_static_memory_roundtrip,memory,short_exact_trace,short,exact_trace,True,True,exact_trace_match,4,4,True,True,,,
bytecode_arithmetic_smoke,smoke,short_exact_trace,short,exact_trace,True,True,exact_trace_match,4,4,True,True,,,
bytecode_branch_then_call_false,smoke,short_exact_trace,short,exact_trace,True,True,exact_trace_match,13,13,True,True,,,
bytecode_branch_then_call_true,smoke,short_exact_trace,short,exact_trace,True,True,exact_trace_match,12,12,True,True,,,
bytecode_call_add_halt,smoke,short_exact_trace,short,exact_trace,True,True,exact_trace_match,6,6,True,True,,,
bytecode_call_chain_smoke,smoke,short_exact_trace,short,exact_trace,True,True,exact_trace_match,10,10,True,True,,,
bytecode_eq_branch_false,smoke,short_exact_trace,short,exact_trace,True,True,exact_trace_match,8,8,True,True,,,
bytecode_eq_branch_true,smoke,short_exact_trace,short,exact_trace,True,True,exact_trace_match,8,8,True,True,,,
