mask_mode,split,family,provenance_class,root_cause_class,root_cause_head,program_count,failed_program_count,failure_fraction,median_first_mismatch_step,min_first_mismatch_step,max_first_mismatch_step
opcode_shape,heldout,alternating_memory_loop,downstream_nontermination_after_semantic_error,memory_value_root_cause,push_expr_0,2,2,1.0,22.0,22,22
opcode_shape,heldout,countdown,downstream_nontermination_after_semantic_error,memory_value_root_cause,push_expr_0,4,4,1.0,4.0,4,4
opcode_shape,heldout,dynamic_memory_transfer,memory_value_root_cause,memory_value_root_cause,push_expr_0,1,1,1.0,10,10,10
opcode_shape,heldout,equality_branch,memory_value_root_cause,memory_value_root_cause,push_expr_0,2,2,1.0,2.0,2,2
opcode_shape,heldout,flagged_indirect_accumulator,memory_value_root_cause,memory_value_root_cause,push_expr_0,2,2,1.0,22.0,16,28
opcode_shape,heldout,loop_indirect_memory,downstream_nontermination_after_semantic_error,memory_value_root_cause,push_expr_0,1,1,1.0,12,12,12
opcode_shape,heldout,selector_checkpoint_bank,memory_value_root_cause,memory_value_root_cause,push_expr_0,2,2,1.0,27.5,26,29
opcode_shape,heldout,stack_memory_ping_pong,memory_value_root_cause,memory_value_root_cause,push_expr_0,1,1,1.0,6,6,6
opcode_shape,train,alternating_memory_loop,downstream_nontermination_after_semantic_error,memory_value_root_cause,push_expr_0,2,2,1.0,31.0,22,40
opcode_shape,train,countdown,downstream_nontermination_after_semantic_error,memory_value_root_cause,push_expr_0,7,6,0.8571428571428571,4.0,4,9
opcode_shape,train,equality_branch,memory_value_root_cause,memory_value_root_cause,push_expr_0,2,1,0.5,2,2,2
opcode_shape,train,flagged_indirect_accumulator,downstream_nontermination_after_semantic_error,memory_value_root_cause,push_expr_0,2,2,1.0,38.0,28,48
opcode_shape,train,loop_indirect_memory,downstream_nontermination_after_semantic_error,memory_value_root_cause,push_expr_0,2,2,1.0,12.0,12,12
opcode_shape,train,selector_checkpoint_bank,downstream_nontermination_after_semantic_error,memory_value_root_cause,push_expr_0,2,2,1.0,60.5,44,77
opcode_shape,train,stack_memory_ping_pong,memory_value_root_cause,memory_value_root_cause,push_expr_0,1,1,1.0,6,6,6
structural,heldout,alternating_memory_loop,control_flow_root_cause,control_flow_root_cause,next_pc_mode,2,2,1.0,13.0,13,13
structural,heldout,countdown,downstream_nontermination_after_semantic_error,memory_value_root_cause,push_expr_0,4,4,1.0,4.0,4,4
structural,heldout,dynamic_memory_transfer,memory_value_root_cause,memory_value_root_cause,push_expr_0,1,1,1.0,10,10,10
structural,heldout,equality_branch,memory_address_root_cause,memory_address_root_cause,memory_read_address_expr,2,1,0.5,2,2,2
structural,heldout,equality_branch,memory_value_root_cause,memory_value_root_cause,push_expr_0,2,1,0.5,2,2,2
structural,heldout,flagged_indirect_accumulator,control_flow_root_cause,control_flow_root_cause,branch_expr,2,1,0.5,15,15,15
structural,heldout,flagged_indirect_accumulator,memory_address_root_cause,memory_address_root_cause,memory_read_address_expr,2,1,0.5,12,12,12
structural,heldout,loop_indirect_memory,downstream_nontermination_after_semantic_error,memory_value_root_cause,push_expr_0,1,1,1.0,12,12,12
structural,heldout,selector_checkpoint_bank,control_flow_root_cause,control_flow_root_cause,branch_expr,2,2,1.0,1.0,1,1
structural,heldout,stack_memory_ping_pong,memory_value_root_cause,memory_value_root_cause,push_expr_0,1,1,1.0,6,6,6
structural,train,alternating_memory_loop,control_flow_root_cause,control_flow_root_cause,next_pc_mode,2,2,1.0,12.5,12,13
structural,train,countdown,downstream_nontermination_after_semantic_error,control_flow_root_cause,next_pc_mode,7,1,0.14285714285714285,2,2,2
structural,train,countdown,downstream_nontermination_after_semantic_error,memory_value_root_cause,push_expr_0,7,6,0.8571428571428571,4.0,4,9
structural,train,equality_branch,control_flow_root_cause,control_flow_root_cause,next_pc_mode,2,1,0.5,3,3,3
structural,train,equality_branch,memory_value_root_cause,memory_value_root_cause,push_expr_0,2,1,0.5,2,2,2
structural,train,flagged_indirect_accumulator,memory_address_root_cause,memory_address_root_cause,memory_read_address_expr,2,2,1.0,12.0,12,12
structural,train,loop_indirect_memory,downstream_nontermination_after_semantic_error,memory_value_root_cause,push_expr_0,2,2,1.0,12.0,12,12
structural,train,selector_checkpoint_bank,control_flow_root_cause,control_flow_root_cause,branch_expr,2,2,1.0,21.0,21,21
structural,train,stack_memory_ping_pong,memory_value_root_cause,memory_value_root_cause,push_expr_0,1,1,1.0,6,6,6
