family,cohort,program_name,selection_bucket,strategy_id,control_class,implementation_state,runtime_mode,expected_behavior
checkpoint_replay_long,admitted,bytecode_checkpoint_replay_long_100_a128,admitted_regression_gate,linear_exact,exact_baseline,imported_r19_baseline,imported_r19_baseline,must_stay_exact
checkpoint_replay_long,admitted,bytecode_checkpoint_replay_long_100_a128,admitted_regression_gate,accelerated,exact_baseline,imported_r19_baseline,imported_r19_baseline,must_stay_exact
checkpoint_replay_long,admitted,bytecode_checkpoint_replay_long_100_a128,admitted_regression_gate,pointer_like_exact,target_mechanism,implemented,measured_r20,must_stay_exact
checkpoint_replay_long,admitted,bytecode_checkpoint_replay_long_100_a128,admitted_regression_gate,pointer_like_shuffled,negative_control,implemented,measured_r20,should_break_speed_or_exactness
checkpoint_replay_long,admitted,bytecode_checkpoint_replay_long_100_a128,admitted_regression_gate,address_oblivious_control,negative_control,implemented,measured_r20,should_break_speed_or_exactness
helper_checkpoint_braid,admitted,bytecode_helper_checkpoint_braid_60_a280_s0,admitted_regression_gate,linear_exact,exact_baseline,imported_r19_baseline,imported_r19_baseline,must_stay_exact
helper_checkpoint_braid,admitted,bytecode_helper_checkpoint_braid_60_a280_s0,admitted_regression_gate,accelerated,exact_baseline,imported_r19_baseline,imported_r19_baseline,must_stay_exact
helper_checkpoint_braid,admitted,bytecode_helper_checkpoint_braid_60_a280_s0,admitted_regression_gate,pointer_like_exact,target_mechanism,implemented,measured_r20,must_stay_exact
helper_checkpoint_braid,admitted,bytecode_helper_checkpoint_braid_60_a280_s0,admitted_regression_gate,pointer_like_shuffled,negative_control,implemented,measured_r20,should_break_speed_or_exactness
helper_checkpoint_braid,admitted,bytecode_helper_checkpoint_braid_60_a280_s0,admitted_regression_gate,address_oblivious_control,negative_control,implemented,measured_r20,should_break_speed_or_exactness
helper_checkpoint_braid_long,admitted,bytecode_helper_checkpoint_braid_long_180_a312_s0,admitted_regression_gate,linear_exact,exact_baseline,imported_r19_baseline,imported_r19_baseline,must_stay_exact
helper_checkpoint_braid_long,admitted,bytecode_helper_checkpoint_braid_long_180_a312_s0,admitted_regression_gate,accelerated,exact_baseline,imported_r19_baseline,imported_r19_baseline,must_stay_exact
helper_checkpoint_braid_long,admitted,bytecode_helper_checkpoint_braid_long_180_a312_s0,admitted_regression_gate,pointer_like_exact,target_mechanism,implemented,measured_r20,must_stay_exact
helper_checkpoint_braid_long,admitted,bytecode_helper_checkpoint_braid_long_180_a312_s0,admitted_regression_gate,pointer_like_shuffled,negative_control,implemented,measured_r20,should_break_speed_or_exactness
helper_checkpoint_braid_long,admitted,bytecode_helper_checkpoint_braid_long_180_a312_s0,admitted_regression_gate,address_oblivious_control,negative_control,implemented,measured_r20,should_break_speed_or_exactness
indirect_counter_bank,admitted,bytecode_indirect_counter_bank_120_a32_b33,admitted_regression_gate,linear_exact,exact_baseline,imported_r19_baseline,imported_r19_baseline,must_stay_exact
indirect_counter_bank,admitted,bytecode_indirect_counter_bank_120_a32_b33,admitted_regression_gate,accelerated,exact_baseline,imported_r19_baseline,imported_r19_baseline,must_stay_exact
indirect_counter_bank,admitted,bytecode_indirect_counter_bank_120_a32_b33,admitted_regression_gate,pointer_like_exact,target_mechanism,implemented,measured_r20,must_stay_exact
indirect_counter_bank,admitted,bytecode_indirect_counter_bank_120_a32_b33,admitted_regression_gate,pointer_like_shuffled,negative_control,implemented,measured_r20,should_break_speed_or_exactness
indirect_counter_bank,admitted,bytecode_indirect_counter_bank_120_a32_b33,admitted_regression_gate,address_oblivious_control,negative_control,implemented,measured_r20,should_break_speed_or_exactness
iterated_helper_accumulator,admitted,bytecode_iterated_helper_accumulator_240_a144_b145,admitted_regression_gate,linear_exact,exact_baseline,imported_r19_baseline,imported_r19_baseline,must_stay_exact
iterated_helper_accumulator,admitted,bytecode_iterated_helper_accumulator_240_a144_b145,admitted_regression_gate,accelerated,exact_baseline,imported_r19_baseline,imported_r19_baseline,must_stay_exact
iterated_helper_accumulator,admitted,bytecode_iterated_helper_accumulator_240_a144_b145,admitted_regression_gate,pointer_like_exact,target_mechanism,implemented,measured_r20,must_stay_exact
iterated_helper_accumulator,admitted,bytecode_iterated_helper_accumulator_240_a144_b145,admitted_regression_gate,pointer_like_shuffled,negative_control,implemented,measured_r20,should_break_speed_or_exactness
iterated_helper_accumulator,admitted,bytecode_iterated_helper_accumulator_240_a144_b145,admitted_regression_gate,address_oblivious_control,negative_control,implemented,measured_r20,should_break_speed_or_exactness
stack_memory_braid,admitted,bytecode_stack_memory_braid_100_a112,admitted_regression_gate,linear_exact,exact_baseline,imported_r19_baseline,imported_r19_baseline,must_stay_exact
stack_memory_braid,admitted,bytecode_stack_memory_braid_100_a112,admitted_regression_gate,accelerated,exact_baseline,imported_r19_baseline,imported_r19_baseline,must_stay_exact
stack_memory_braid,admitted,bytecode_stack_memory_braid_100_a112,admitted_regression_gate,pointer_like_exact,target_mechanism,implemented,measured_r20,must_stay_exact
stack_memory_braid,admitted,bytecode_stack_memory_braid_100_a112,admitted_regression_gate,pointer_like_shuffled,negative_control,implemented,measured_r20,should_break_speed_or_exactness
stack_memory_braid,admitted,bytecode_stack_memory_braid_100_a112,admitted_regression_gate,address_oblivious_control,negative_control,implemented,measured_r20,should_break_speed_or_exactness
subroutine_braid,admitted,bytecode_subroutine_braid_80_a96,admitted_regression_gate,linear_exact,exact_baseline,imported_r19_baseline,imported_r19_baseline,must_stay_exact
subroutine_braid,admitted,bytecode_subroutine_braid_80_a96,admitted_regression_gate,accelerated,exact_baseline,imported_r19_baseline,imported_r19_baseline,must_stay_exact
subroutine_braid,admitted,bytecode_subroutine_braid_80_a96,admitted_regression_gate,pointer_like_exact,target_mechanism,implemented,measured_r20,must_stay_exact
subroutine_braid,admitted,bytecode_subroutine_braid_80_a96,admitted_regression_gate,pointer_like_shuffled,negative_control,implemented,measured_r20,should_break_speed_or_exactness
subroutine_braid,admitted,bytecode_subroutine_braid_80_a96,admitted_regression_gate,address_oblivious_control,negative_control,implemented,measured_r20,should_break_speed_or_exactness
subroutine_braid_long,admitted,bytecode_subroutine_braid_long_140_a176,admitted_regression_gate,linear_exact,exact_baseline,imported_r19_baseline,imported_r19_baseline,must_stay_exact
subroutine_braid_long,admitted,bytecode_subroutine_braid_long_140_a176,admitted_regression_gate,accelerated,exact_baseline,imported_r19_baseline,imported_r19_baseline,must_stay_exact
subroutine_braid_long,admitted,bytecode_subroutine_braid_long_140_a176,admitted_regression_gate,pointer_like_exact,target_mechanism,implemented,measured_r20,must_stay_exact
subroutine_braid_long,admitted,bytecode_subroutine_braid_long_140_a176,admitted_regression_gate,pointer_like_shuffled,negative_control,implemented,measured_r20,should_break_speed_or_exactness
subroutine_braid_long,admitted,bytecode_subroutine_braid_long_140_a176,admitted_regression_gate,address_oblivious_control,negative_control,implemented,measured_r20,should_break_speed_or_exactness
checkpoint_replay_long,heldout,bytecode_checkpoint_replay_long_100_a144,heldout_family_focus,linear_exact,exact_baseline,imported_r19_baseline,imported_r19_baseline,must_stay_exact
checkpoint_replay_long,heldout,bytecode_checkpoint_replay_long_100_a144,heldout_family_focus,accelerated,exact_baseline,imported_r19_baseline,imported_r19_baseline,must_stay_exact
checkpoint_replay_long,heldout,bytecode_checkpoint_replay_long_100_a144,heldout_family_focus,pointer_like_exact,target_mechanism,implemented,measured_r20,must_stay_exact
checkpoint_replay_long,heldout,bytecode_checkpoint_replay_long_100_a144,heldout_family_focus,pointer_like_shuffled,negative_control,implemented,measured_r20,should_break_speed_or_exactness
checkpoint_replay_long,heldout,bytecode_checkpoint_replay_long_100_a144,heldout_family_focus,address_oblivious_control,negative_control,implemented,measured_r20,should_break_speed_or_exactness
helper_checkpoint_braid,heldout,bytecode_helper_checkpoint_braid_60_a296_s0,heldout_family_focus,linear_exact,exact_baseline,imported_r19_baseline,imported_r19_baseline,must_stay_exact
helper_checkpoint_braid,heldout,bytecode_helper_checkpoint_braid_60_a296_s0,heldout_family_focus,accelerated,exact_baseline,imported_r19_baseline,imported_r19_baseline,must_stay_exact
helper_checkpoint_braid,heldout,bytecode_helper_checkpoint_braid_60_a296_s0,heldout_family_focus,pointer_like_exact,target_mechanism,implemented,measured_r20,must_stay_exact
helper_checkpoint_braid,heldout,bytecode_helper_checkpoint_braid_60_a296_s0,heldout_family_focus,pointer_like_shuffled,negative_control,implemented,measured_r20,should_break_speed_or_exactness
helper_checkpoint_braid,heldout,bytecode_helper_checkpoint_braid_60_a296_s0,heldout_family_focus,address_oblivious_control,negative_control,implemented,measured_r20,should_break_speed_or_exactness
helper_checkpoint_braid_long,heldout,bytecode_helper_checkpoint_braid_long_180_a312_s1,heldout_family_focus,linear_exact,exact_baseline,imported_r19_baseline,imported_r19_baseline,must_stay_exact
helper_checkpoint_braid_long,heldout,bytecode_helper_checkpoint_braid_long_180_a312_s1,heldout_family_focus,accelerated,exact_baseline,imported_r19_baseline,imported_r19_baseline,must_stay_exact
helper_checkpoint_braid_long,heldout,bytecode_helper_checkpoint_braid_long_180_a312_s1,heldout_family_focus,pointer_like_exact,target_mechanism,implemented,measured_r20,must_stay_exact
helper_checkpoint_braid_long,heldout,bytecode_helper_checkpoint_braid_long_180_a312_s1,heldout_family_focus,pointer_like_shuffled,negative_control,implemented,measured_r20,should_break_speed_or_exactness
helper_checkpoint_braid_long,heldout,bytecode_helper_checkpoint_braid_long_180_a312_s1,heldout_family_focus,address_oblivious_control,negative_control,implemented,measured_r20,should_break_speed_or_exactness
indirect_counter_bank,heldout,bytecode_indirect_counter_bank_120_a48_b49,heldout_family_focus,linear_exact,exact_baseline,imported_r19_baseline,imported_r19_baseline,must_stay_exact
indirect_counter_bank,heldout,bytecode_indirect_counter_bank_120_a48_b49,heldout_family_focus,accelerated,exact_baseline,imported_r19_baseline,imported_r19_baseline,must_stay_exact
indirect_counter_bank,heldout,bytecode_indirect_counter_bank_120_a48_b49,heldout_family_focus,pointer_like_exact,target_mechanism,implemented,measured_r20,must_stay_exact
indirect_counter_bank,heldout,bytecode_indirect_counter_bank_120_a48_b49,heldout_family_focus,pointer_like_shuffled,negative_control,implemented,measured_r20,should_break_speed_or_exactness
indirect_counter_bank,heldout,bytecode_indirect_counter_bank_120_a48_b49,heldout_family_focus,address_oblivious_control,negative_control,implemented,measured_r20,should_break_speed_or_exactness
iterated_helper_accumulator,heldout,bytecode_iterated_helper_accumulator_240_a176_b177,heldout_family_focus,linear_exact,exact_baseline,imported_r19_baseline,imported_r19_baseline,must_stay_exact
iterated_helper_accumulator,heldout,bytecode_iterated_helper_accumulator_240_a176_b177,heldout_family_focus,accelerated,exact_baseline,imported_r19_baseline,imported_r19_baseline,must_stay_exact
iterated_helper_accumulator,heldout,bytecode_iterated_helper_accumulator_240_a176_b177,heldout_family_focus,pointer_like_exact,target_mechanism,implemented,measured_r20,must_stay_exact
iterated_helper_accumulator,heldout,bytecode_iterated_helper_accumulator_240_a176_b177,heldout_family_focus,pointer_like_shuffled,negative_control,implemented,measured_r20,should_break_speed_or_exactness
iterated_helper_accumulator,heldout,bytecode_iterated_helper_accumulator_240_a176_b177,heldout_family_focus,address_oblivious_control,negative_control,implemented,measured_r20,should_break_speed_or_exactness
stack_memory_braid,heldout,bytecode_stack_memory_braid_100_a144,heldout_family_focus,linear_exact,exact_baseline,imported_r19_baseline,imported_r19_baseline,must_stay_exact
stack_memory_braid,heldout,bytecode_stack_memory_braid_100_a144,heldout_family_focus,accelerated,exact_baseline,imported_r19_baseline,imported_r19_baseline,must_stay_exact
stack_memory_braid,heldout,bytecode_stack_memory_braid_100_a144,heldout_family_focus,pointer_like_exact,target_mechanism,implemented,measured_r20,must_stay_exact
stack_memory_braid,heldout,bytecode_stack_memory_braid_100_a144,heldout_family_focus,pointer_like_shuffled,negative_control,implemented,measured_r20,should_break_speed_or_exactness
