branch_id,candidate_id,unique_address_target,horizon_multiplier,checkpoint_depth,hot_address_skew,seed_id,family,comparison_mode,base_program_name,seed_variant,base_start,scaled_start,base_max_steps,max_steps,base_unique_address_count,padding_unique_count,flatten_rounds,padding_base_address,expected_padding_instruction_count,target_wrapper_call_depth,source_runtime_stage,base_runtime_stage,program_name,base_variant_program_name,runtime_seconds,ns_per_step,exact_trace_match,exact_final_state_match,first_mismatch_step,failure_reason,failure_class,exact,read_observation_count,memory_read_count,stack_read_count,reference_step_count,memory_operation_count,memory_load_count,memory_store_count,unique_address_count,hottest_address,hottest_address_share,failure_axis_tags
u6_h1p0_cbaseline_kbaseline,u6_h1p0_cbaseline_kbaseline_seed0,6,1.0,baseline,baseline,0,subroutine_braid,medium_exact_trace,bytecode_subroutine_braid_80_a96,r19_admitted_address_anchor,80,80,5120,5156,4,2,0,20000,4,0,r20_d0_runtime_mechanism_ablation_matrix,r19_d0_pointer_like_surface_generalization_gate,bytecode_subroutine_braid_80_a96_r21_u6_h1p0_cbaseline_kbaseline_seed0,bytecode_subroutine_braid_80_a96,0.035462900064885616,22444.873458788363,True,True,,,,True,1294,403,891,1580,649,403,246,6,96,0.49614791987673346,
u6_h1p0_cbaseline_kbaseline,u6_h1p0_cbaseline_kbaseline_seed1,6,1.0,baseline,baseline,1,subroutine_braid,medium_exact_trace,bytecode_subroutine_braid_80_a96,r19_heldout_address_anchor,80,80,5120,5156,4,2,0,20008,4,0,r20_d0_runtime_mechanism_ablation_matrix,r19_d0_pointer_like_surface_generalization_gate,bytecode_subroutine_braid_80_a112_r21_u6_h1p0_cbaseline_kbaseline_seed1,bytecode_subroutine_braid_80_a112,0.03078909998293966,19486.77214110105,True,True,,,,True,1294,403,891,1580,649,403,246,6,112,0.49614791987673346,
u6_h1p0_cbaseline_kflattened,u6_h1p0_cbaseline_kflattened_seed0,6,1.0,baseline,flattened,0,subroutine_braid,medium_exact_trace,bytecode_subroutine_braid_80_a96,r19_admitted_address_anchor,80,80,5120,6452,4,2,324,20032,1300,0,r20_d0_runtime_mechanism_ablation_matrix,r19_d0_pointer_like_surface_generalization_gate,bytecode_subroutine_braid_80_a96_r21_u6_h1p0_cbaseline_kflattened_seed0,bytecode_subroutine_braid_80_a96,0.16447319998405874,57188.17801949191,True,True,,,,True,1942,403,1539,2876,1297,403,894,6,20032,0.25057825751734775,"flattened_hot_address_target,low_hottest_address_share_observed"
u6_h1p0_cbaseline_kflattened,u6_h1p0_cbaseline_kflattened_seed1,6,1.0,baseline,flattened,1,subroutine_braid,medium_exact_trace,bytecode_subroutine_braid_80_a96,r19_heldout_address_anchor,80,80,5120,6452,4,2,324,20040,1300,0,r20_d0_runtime_mechanism_ablation_matrix,r19_d0_pointer_like_surface_generalization_gate,bytecode_subroutine_braid_80_a112_r21_u6_h1p0_cbaseline_kflattened_seed1,bytecode_subroutine_braid_80_a112,0.04838639998342842,16824.200272402093,True,True,,,,True,1942,403,1539,2876,1297,403,894,6,20040,0.25057825751734775,"flattened_hot_address_target,low_hottest_address_share_observed"
u6_h1p0_cplus_one_kbaseline,u6_h1p0_cplus_one_kbaseline_seed0,6,1.0,plus_one,baseline,0,subroutine_braid,medium_exact_trace,bytecode_subroutine_braid_80_a96,r19_admitted_address_anchor,80,80,5120,5158,4,2,0,20064,4,1,r20_d0_runtime_mechanism_ablation_matrix,r19_d0_pointer_like_surface_generalization_gate,bytecode_subroutine_braid_80_a96_r21_u6_h1p0_cplus_one_kbaseline_seed0,bytecode_subroutine_braid_80_a96,0.025084500084631145,15856.194743761786,True,True,,,,True,1294,403,891,1582,649,403,246,6,96,0.49614791987673346,plus_one_checkpoint_depth
u6_h1p0_cplus_one_kbaseline,u6_h1p0_cplus_one_kbaseline_seed1,6,1.0,plus_one,baseline,1,subroutine_braid,medium_exact_trace,bytecode_subroutine_braid_80_a96,r19_heldout_address_anchor,80,80,5120,5158,4,2,0,20072,4,1,r20_d0_runtime_mechanism_ablation_matrix,r19_d0_pointer_like_surface_generalization_gate,bytecode_subroutine_braid_80_a112_r21_u6_h1p0_cplus_one_kbaseline_seed1,bytecode_subroutine_braid_80_a112,0.024622999946586788,15564.475313898096,True,True,,,,True,1294,403,891,1582,649,403,246,6,112,0.49614791987673346,plus_one_checkpoint_depth
u6_h1p0_cplus_one_kflattened,u6_h1p0_cplus_one_kflattened_seed0,6,1.0,plus_one,flattened,0,subroutine_braid,medium_exact_trace,bytecode_subroutine_braid_80_a96,r19_admitted_address_anchor,80,80,5120,6454,4,2,324,20096,1300,1,r20_d0_runtime_mechanism_ablation_matrix,r19_d0_pointer_like_surface_generalization_gate,bytecode_subroutine_braid_80_a96_r21_u6_h1p0_cplus_one_kflattened_seed0,bytecode_subroutine_braid_80_a96,0.11359309998806566,39469.45795276777,True,True,,,,True,1942,403,1539,2878,1297,403,894,6,20096,0.25057825751734775,"plus_one_checkpoint_depth,flattened_hot_address_target,low_hottest_address_share_observed"
u6_h1p0_cplus_one_kflattened,u6_h1p0_cplus_one_kflattened_seed1,6,1.0,plus_one,flattened,1,subroutine_braid,medium_exact_trace,bytecode_subroutine_braid_80_a96,r19_heldout_address_anchor,80,80,5120,6454,4,2,324,20104,1300,1,r20_d0_runtime_mechanism_ablation_matrix,r19_d0_pointer_like_surface_generalization_gate,bytecode_subroutine_braid_80_a112_r21_u6_h1p0_cplus_one_kflattened_seed1,bytecode_subroutine_braid_80_a112,0.047508700052276254,16507.53997646847,True,True,,,,True,1942,403,1539,2878,1297,403,894,6,20104,0.25057825751734775,"plus_one_checkpoint_depth,flattened_hot_address_target,low_hottest_address_share_observed"
u6_h1p5_cbaseline_kbaseline,u6_h1p5_cbaseline_kbaseline_seed0,6,1.5,baseline,baseline,0,subroutine_braid,medium_exact_trace,bytecode_subroutine_braid_80_a96,r19_admitted_address_anchor,80,120,5120,7716,4,2,0,20128,4,0,r20_d0_runtime_mechanism_ablation_matrix,r19_d0_pointer_like_surface_generalization_gate,bytecode_subroutine_braid_120_a96_r21_u6_h1p5_cbaseline_kbaseline_seed0,bytecode_subroutine_braid_120_a96,0.038876699982210994,16473.17795856398,True,True,,,,True,1934,603,1331,2360,969,603,366,6,96,0.49742002063983487,
u6_h1p5_cbaseline_kbaseline,u6_h1p5_cbaseline_kbaseline_seed1,6,1.5,baseline,baseline,1,subroutine_braid,medium_exact_trace,bytecode_subroutine_braid_80_a96,r19_heldout_address_anchor,80,120,5120,7716,4,2,0,20136,4,0,r20_d0_runtime_mechanism_ablation_matrix,r19_d0_pointer_like_surface_generalization_gate,bytecode_subroutine_braid_120_a112_r21_u6_h1p5_cbaseline_kbaseline_seed1,bytecode_subroutine_braid_120_a112,0.11730749998241663,49706.56778915959,True,True,,,,True,1934,603,1331,2360,969,603,366,6,112,0.49742002063983487,
