branch_id,candidate_id,unique_address_target,horizon_multiplier,checkpoint_depth,hot_address_skew,seed_id,family,comparison_mode,base_program_name,seed_variant,base_start,scaled_start,base_max_steps,max_steps,base_unique_address_count,padding_unique_count,flatten_rounds,padding_base_address,expected_padding_instruction_count,target_wrapper_call_depth
u6_h1p0_cbaseline_kbaseline,u6_h1p0_cbaseline_kbaseline_seed0,6,1.0,baseline,baseline,0,subroutine_braid,medium_exact_trace,bytecode_subroutine_braid_80_a96,r19_admitted_address_anchor,80,80,5120,5156,4,2,0,20000,4,0
u6_h1p0_cbaseline_kbaseline,u6_h1p0_cbaseline_kbaseline_seed1,6,1.0,baseline,baseline,1,subroutine_braid,medium_exact_trace,bytecode_subroutine_braid_80_a96,r19_heldout_address_anchor,80,80,5120,5156,4,2,0,20008,4,0
u6_h1p0_cbaseline_kflattened,u6_h1p0_cbaseline_kflattened_seed0,6,1.0,baseline,flattened,0,subroutine_braid,medium_exact_trace,bytecode_subroutine_braid_80_a96,r19_admitted_address_anchor,80,80,5120,6452,4,2,324,20032,1300,0
u6_h1p0_cbaseline_kflattened,u6_h1p0_cbaseline_kflattened_seed1,6,1.0,baseline,flattened,1,subroutine_braid,medium_exact_trace,bytecode_subroutine_braid_80_a96,r19_heldout_address_anchor,80,80,5120,6452,4,2,324,20040,1300,0
u6_h1p0_cplus_one_kbaseline,u6_h1p0_cplus_one_kbaseline_seed0,6,1.0,plus_one,baseline,0,subroutine_braid,medium_exact_trace,bytecode_subroutine_braid_80_a96,r19_admitted_address_anchor,80,80,5120,5158,4,2,0,20064,4,1
u6_h1p0_cplus_one_kbaseline,u6_h1p0_cplus_one_kbaseline_seed1,6,1.0,plus_one,baseline,1,subroutine_braid,medium_exact_trace,bytecode_subroutine_braid_80_a96,r19_heldout_address_anchor,80,80,5120,5158,4,2,0,20072,4,1
u6_h1p0_cplus_one_kflattened,u6_h1p0_cplus_one_kflattened_seed0,6,1.0,plus_one,flattened,0,subroutine_braid,medium_exact_trace,bytecode_subroutine_braid_80_a96,r19_admitted_address_anchor,80,80,5120,6454,4,2,324,20096,1300,1
u6_h1p0_cplus_one_kflattened,u6_h1p0_cplus_one_kflattened_seed1,6,1.0,plus_one,flattened,1,subroutine_braid,medium_exact_trace,bytecode_subroutine_braid_80_a96,r19_heldout_address_anchor,80,80,5120,6454,4,2,324,20104,1300,1
u6_h1p5_cbaseline_kbaseline,u6_h1p5_cbaseline_kbaseline_seed0,6,1.5,baseline,baseline,0,subroutine_braid,medium_exact_trace,bytecode_subroutine_braid_80_a96,r19_admitted_address_anchor,80,120,5120,7716,4,2,0,20128,4,0
u6_h1p5_cbaseline_kbaseline,u6_h1p5_cbaseline_kbaseline_seed1,6,1.5,baseline,baseline,1,subroutine_braid,medium_exact_trace,bytecode_subroutine_braid_80_a96,r19_heldout_address_anchor,80,120,5120,7716,4,2,0,20136,4,0
