branch_id,candidate_id,lane_class,family,comparison_mode,base_program_name,seed_variant,unique_address_target,horizon_multiplier,checkpoint_depth,hot_address_skew,seed_id,base_start,scaled_start,base_max_steps,max_steps,base_reference_step_count,expected_reference_step_count,base_unique_address_count,padding_unique_count,flatten_rounds,padding_base_address,expected_padding_instruction_count,target_wrapper_call_depth,source_runtime_stage,base_runtime_stage,program_name,base_variant_program_name,runtime_seconds,ns_per_step,exact_trace_match,exact_final_state_match,first_mismatch_step,failure_reason,failure_class,exact,read_observation_count,memory_read_count,stack_read_count,reference_step_count,memory_operation_count,memory_load_count,memory_store_count,unique_address_count,hottest_address,hottest_address_share,failure_axis_tags
candidate_core_subroutine_braid_u6_h2p0_cplus_one_kflattened,candidate_core_subroutine_braid_u6_h2p0_cplus_one_kflattened_seed0,candidate_core,subroutine_braid,medium_exact_trace,bytecode_subroutine_braid_80_a96,r19_admitted_address_anchor,6,2.0,plus_one,flattened,0,80,160,5120,12897,1576,5745,4,2,647,40000,2592,1,r22_d0_true_boundary_localization_gate,r19_d0_pointer_like_surface_generalization_gate,bytecode_subroutine_braid_160_a96_r26_u6_h2p0_cplus_one_kflattened_seed0,bytecode_subroutine_braid_160_a96,0.18551450001541525,32381.654741737693,True,True,,,,True,3868,803,3065,5729,2583,803,1780,6,40000,0.2508710801393728,"plus_one_checkpoint_depth,flattened_hot_address_target"
candidate_core_subroutine_braid_u6_h2p0_cplus_one_kflattened,candidate_core_subroutine_braid_u6_h2p0_cplus_one_kflattened_seed1,candidate_core,subroutine_braid,medium_exact_trace,bytecode_subroutine_braid_80_a96,r19_heldout_address_anchor,6,2.0,plus_one,flattened,1,80,160,5120,12897,1576,5745,4,2,647,40016,2592,1,r22_d0_true_boundary_localization_gate,r19_d0_pointer_like_surface_generalization_gate,bytecode_subroutine_braid_160_a112_r26_u6_h2p0_cplus_one_kflattened_seed1,bytecode_subroutine_braid_160_a112,0.18419609998818487,32151.527315095977,True,True,,,,True,3868,803,3065,5729,2583,803,1780,6,40016,0.2508710801393728,"plus_one_checkpoint_depth,flattened_hot_address_target"
candidate_core_helper_checkpoint_braid_u8_h2p0_cplus_one_kflattened,candidate_core_helper_checkpoint_braid_u8_h2p0_cplus_one_kflattened_seed0,candidate_core,helper_checkpoint_braid,medium_exact_trace,bytecode_helper_checkpoint_braid_60_a280_s0,r19_admitted_seed_anchor,8,2.0,plus_one,flattened,0,60,120,2560,8101,1608,6133,6,2,728,40064,2916,1,r22_d0_true_boundary_localization_gate,r19_d0_pointer_like_surface_generalization_gate,bytecode_helper_checkpoint_braid_120_a280_s0_r26_u8_h2p0_cplus_one_kflattened_seed0,bytecode_helper_checkpoint_braid_120_a280_s0,0.2140724000055343,35007.75143181264,True,True,,,,True,4229,842,3387,6115,2906,842,2064,8,40064,0.2508602890571232,"plus_one_checkpoint_depth,flattened_hot_address_target"
candidate_core_helper_checkpoint_braid_u8_h2p0_cplus_one_kflattened,candidate_core_helper_checkpoint_braid_u8_h2p0_cplus_one_kflattened_seed1,candidate_core,helper_checkpoint_braid,medium_exact_trace,bytecode_helper_checkpoint_braid_60_a280_s0,r19_heldout_seed_anchor,8,2.0,plus_one,flattened,1,60,120,2560,8101,1608,6133,6,2,728,40080,2916,1,r22_d0_true_boundary_localization_gate,r19_d0_pointer_like_surface_generalization_gate,bytecode_helper_checkpoint_braid_120_a280_s1_r26_u8_h2p0_cplus_one_kflattened_seed1,bytecode_helper_checkpoint_braid_120_a280_s1,0.11551629996392876,18890.64594667682,True,True,,,,True,4229,842,3387,6115,2906,842,2064,8,40080,0.2508602890571232,"plus_one_checkpoint_depth,flattened_hot_address_target"
candidate_core_subroutine_braid_long_u20_h3p0_cplus_two_kflattened,candidate_core_subroutine_braid_long_u20_h3p0_cplus_two_kflattened_seed0,candidate_core,subroutine_braid_long,long_exact_final_state,bytecode_subroutine_braid_long_140_a176,r19_admitted_address_anchor,20,3.0,plus_two,flattened,0,140,420,10240,37602,2746,15056,4,16,212,40128,6816,2,r22_d0_true_boundary_localization_gate,r19_d0_pointer_like_surface_generalization_gate,bytecode_subroutine_braid_long_420_a176_r26_u20_h3p0_cplus_two_kflattened_seed0,bytecode_subroutine_braid_long_420_a176,0.5499431000789627,36604.306448280266,True,True,,,,True,10140,2103,8037,15024,6775,2103,4672,20,176,0.24826568265682658,"long_family,high_unique_address_target,plus_two_checkpoint_depth,flattened_hot_address_target"
candidate_core_subroutine_braid_long_u20_h3p0_cplus_two_kflattened,candidate_core_subroutine_braid_long_u20_h3p0_cplus_two_kflattened_seed1,candidate_core,subroutine_braid_long,long_exact_final_state,bytecode_subroutine_braid_long_140_a176,r19_heldout_address_anchor,20,3.0,plus_two,flattened,1,140,420,10240,37602,2746,15056,4,16,212,40144,6816,2,r22_d0_true_boundary_localization_gate,r19_d0_pointer_like_surface_generalization_gate,bytecode_subroutine_braid_long_420_a208_r26_u20_h3p0_cplus_two_kflattened_seed1,bytecode_subroutine_braid_long_420_a208,0.5079675000160933,33810.40335570376,True,True,,,,True,10140,2103,8037,15024,6775,2103,4672,20,208,0.24826568265682658,"long_family,high_unique_address_target,plus_two_checkpoint_depth,flattened_hot_address_target"
candidate_core_helper_checkpoint_braid_long_u20_h3p0_cplus_two_kflattened,candidate_core_helper_checkpoint_braid_long_u20_h3p0_cplus_two_kflattened_seed0,candidate_core,helper_checkpoint_braid_long,long_exact_final_state,bytecode_helper_checkpoint_braid_long_180_a312_s0,r19_admitted_seed_anchor,20,3.0,plus_two,flattened,0,180,540,10240,43834,4788,27414,6,14,465,40192,13048,2,r22_d0_true_boundary_localization_gate,r19_d0_pointer_like_surface_generalization_gate,bytecode_helper_checkpoint_braid_long_540_a312_s0_r26_u20_h3p0_cplus_two_kflattened_seed0,bytecode_helper_checkpoint_braid_long_540_a312_s0,1.0613649999722838,38767.07575324289,True,True,,,,True,18955,3782,15173,27378,13012,3782,9230,20,312,0.1661543190900707,"long_family,high_unique_address_target,plus_two_checkpoint_depth,flattened_hot_address_target,low_hottest_address_share_observed"
candidate_core_helper_checkpoint_braid_long_u20_h3p0_cplus_two_kflattened,candidate_core_helper_checkpoint_braid_long_u20_h3p0_cplus_two_kflattened_seed1,candidate_core,helper_checkpoint_braid_long,long_exact_final_state,bytecode_helper_checkpoint_braid_long_180_a312_s0,r19_heldout_seed_anchor,20,3.0,plus_two,flattened,1,180,540,10240,43834,4788,27414,6,14,465,40208,13048,2,r22_d0_true_boundary_localization_gate,r19_d0_pointer_like_surface_generalization_gate,bytecode_helper_checkpoint_braid_long_540_a312_s1_r26_u20_h3p0_cplus_two_kflattened_seed1,bytecode_helper_checkpoint_braid_long_540_a312_s1,1.170521599939093,42754.09452622884,True,True,,,,True,18955,3782,15173,27378,13012,3782,9230,20,312,0.1661543190900707,"long_family,high_unique_address_target,plus_two_checkpoint_depth,flattened_hot_address_target,low_hottest_address_share_observed"
candidate_core_checkpoint_replay_long_u32_h3p0_cplus_two_kflattened,candidate_core_checkpoint_replay_long_u32_h3p0_cplus_two_kflattened_seed0,candidate_core,checkpoint_replay_long,long_exact_final_state,bytecode_checkpoint_replay_long_100_a128,r19_admitted_address_anchor,32,3.0,plus_two,flattened,0,100,300,12800,46424,3126,17338,9,23,172,40256,7958,2,r22_d0_true_boundary_localization_gate,r19_d0_pointer_like_surface_generalization_gate,bytecode_checkpoint_replay_long_300_a128_r26_u32_h3p0_cplus_two_kflattened_seed0,bytecode_checkpoint_replay_long_300_a128,0.6466673000250012,37405.55877053454,True,True,,,,True,13199,2704,10495,17288,7892,2704,5188,32,128,0.15230613279270147,"long_family,high_unique_address_target,plus_two_checkpoint_depth,flattened_hot_address_target,low_hottest_address_share_observed"
candidate_core_checkpoint_replay_long_u32_h3p0_cplus_two_kflattened,candidate_core_checkpoint_replay_long_u32_h3p0_cplus_two_kflattened_seed1,candidate_core,checkpoint_replay_long,long_exact_final_state,bytecode_checkpoint_replay_long_100_a128,r19_heldout_address_anchor,32,3.0,plus_two,flattened,1,100,300,12800,46424,3126,17338,9,23,172,40272,7958,2,r22_d0_true_boundary_localization_gate,r19_d0_pointer_like_surface_generalization_gate,bytecode_checkpoint_replay_long_300_a144_r26_u32_h3p0_cplus_two_kflattened_seed1,bytecode_checkpoint_replay_long_300_a144,0.8541963000316173,49409.78135305514,True,True,,,,True,13199,2704,10495,17288,7892,2704,5188,32,144,0.15230613279270147,"long_family,high_unique_address_target,plus_two_checkpoint_depth,flattened_hot_address_target,low_hottest_address_share_observed"
