branch_id,candidate_id,lane_class,family,comparison_mode,base_program_name,seed_variant,unique_address_target,horizon_multiplier,checkpoint_depth,hot_address_skew,seed_id,base_start,scaled_start,base_max_steps,max_steps,base_reference_step_count,expected_reference_step_count,base_unique_address_count,padding_unique_count,flatten_rounds,padding_base_address,expected_padding_instruction_count,target_wrapper_call_depth
second_wave_extension_subroutine_braid_long_u24_h3p5_cplus_two_kbaseline,second_wave_extension_subroutine_braid_long_u24_h3p5_cplus_two_kbaseline_seed0,second_wave_extension,subroutine_braid_long,long_exact_final_state,bytecode_subroutine_braid_long_140_a176,r19_admitted_address_anchor,24,3.5,plus_two,baseline,0,140,490,10240,35946,2746,9653,4,20,0,40000,40,2
second_wave_extension_subroutine_braid_long_u24_h3p5_cplus_two_kbaseline,second_wave_extension_subroutine_braid_long_u24_h3p5_cplus_two_kbaseline_seed1,second_wave_extension,subroutine_braid_long,long_exact_final_state,bytecode_subroutine_braid_long_140_a176,r19_heldout_address_anchor,24,3.5,plus_two,baseline,1,140,490,10240,35946,2746,9653,4,20,0,40016,40,2
second_wave_extension_subroutine_braid_long_u24_h3p5_cplus_two_kflattened,second_wave_extension_subroutine_braid_long_u24_h3p5_cplus_two_kflattened_seed0,second_wave_extension,subroutine_braid_long,long_exact_final_state,bytecode_subroutine_braid_long_140_a176,r19_admitted_address_anchor,24,3.5,plus_two,flattened,0,140,490,10240,43866,2746,17573,4,20,198,40064,7960,2
second_wave_extension_subroutine_braid_long_u24_h3p5_cplus_two_kflattened,second_wave_extension_subroutine_braid_long_u24_h3p5_cplus_two_kflattened_seed1,second_wave_extension,subroutine_braid_long,long_exact_final_state,bytecode_subroutine_braid_long_140_a176,r19_heldout_address_anchor,24,3.5,plus_two,flattened,1,140,490,10240,43866,2746,17573,4,20,198,40080,7960,2
second_wave_extension_helper_checkpoint_braid_long_u24_h3p5_cplus_two_kbaseline,second_wave_extension_helper_checkpoint_braid_long_u24_h3p5_cplus_two_kbaseline_seed0,second_wave_extension,helper_checkpoint_braid_long,long_exact_final_state,bytecode_helper_checkpoint_braid_long_180_a312_s0,r19_admitted_seed_anchor,24,3.5,plus_two,baseline,0,180,630,10240,35942,4788,16796,6,18,0,40128,36,2
second_wave_extension_helper_checkpoint_braid_long_u24_h3p5_cplus_two_kbaseline,second_wave_extension_helper_checkpoint_braid_long_u24_h3p5_cplus_two_kbaseline_seed1,second_wave_extension,helper_checkpoint_braid_long,long_exact_final_state,bytecode_helper_checkpoint_braid_long_180_a312_s0,r19_heldout_seed_anchor,24,3.5,plus_two,baseline,1,180,630,10240,35942,4788,16796,6,18,0,40144,36,2
second_wave_extension_helper_checkpoint_braid_long_u24_h3p5_cplus_two_kflattened,second_wave_extension_helper_checkpoint_braid_long_u24_h3p5_cplus_two_kflattened_seed0,second_wave_extension,helper_checkpoint_braid_long,long_exact_final_state,bytecode_helper_checkpoint_braid_long_180_a312_s0,r19_admitted_seed_anchor,24,3.5,plus_two,flattened,0,180,630,10240,51134,4788,31988,6,18,422,40192,15228,2
second_wave_extension_helper_checkpoint_braid_long_u24_h3p5_cplus_two_kflattened,second_wave_extension_helper_checkpoint_braid_long_u24_h3p5_cplus_two_kflattened_seed1,second_wave_extension,helper_checkpoint_braid_long,long_exact_final_state,bytecode_helper_checkpoint_braid_long_180_a312_s0,r19_heldout_seed_anchor,24,3.5,plus_two,flattened,1,180,630,10240,51134,4788,31988,6,18,422,40208,15228,2
second_wave_extension_checkpoint_replay_long_u40_h3p5_cplus_two_kbaseline,second_wave_extension_checkpoint_replay_long_u40_h3p5_cplus_two_kbaseline_seed0,second_wave_extension,checkpoint_replay_long,long_exact_final_state,bytecode_checkpoint_replay_long_100_a128,r19_admitted_address_anchor,40,3.5,plus_two,baseline,0,100,350,12800,44928,3126,11005,9,31,0,40256,62,2
second_wave_extension_checkpoint_replay_long_u40_h3p5_cplus_two_kbaseline,second_wave_extension_checkpoint_replay_long_u40_h3p5_cplus_two_kbaseline_seed1,second_wave_extension,checkpoint_replay_long,long_exact_final_state,bytecode_checkpoint_replay_long_100_a128,r19_heldout_address_anchor,40,3.5,plus_two,baseline,1,100,350,12800,44928,3126,11005,9,31,0,40272,62,2
second_wave_extension_checkpoint_replay_long_u40_h3p5_cplus_two_kflattened,second_wave_extension_checkpoint_replay_long_u40_h3p5_cplus_two_kflattened_seed0,second_wave_extension,checkpoint_replay_long,long_exact_final_state,bytecode_checkpoint_replay_long_100_a128,r19_admitted_address_anchor,40,3.5,plus_two,flattened,0,100,350,12800,54166,3126,20243,9,31,149,40320,9300,2
second_wave_extension_checkpoint_replay_long_u40_h3p5_cplus_two_kflattened,second_wave_extension_checkpoint_replay_long_u40_h3p5_cplus_two_kflattened_seed1,second_wave_extension,checkpoint_replay_long,long_exact_final_state,bytecode_checkpoint_replay_long_100_a128,r19_heldout_address_anchor,40,3.5,plus_two,flattened,1,100,350,12800,54166,3126,20243,9,31,149,40336,9300,2
