program_name,suite,comparison_mode,max_steps,verification_passed,trace_match,final_state_match,verification_median_seconds,bytecode_median_seconds,lowered_median_seconds,spec_median_seconds,bytecode_step_count,lowered_step_count,spec_step_count,profile_step_count,bytecode_ns_per_step,lowered_ns_per_step,spec_ns_per_step
bytecode_arithmetic_smoke,smoke,short_exact_trace,32,True,True,True,1.9399914890527725e-05,2.459995448589325e-05,2.9600108973681927e-05,1.850002445280552e-05,4,4,4,4,6149.988621473312,7400.027243420482,4625.00611320138
bytecode_eq_branch_true,smoke,short_exact_trace,32,True,True,True,3.670004662126303e-05,3.529991954565048e-05,4.170008469372988e-05,2.3699947632849216e-05,6,6,6,6,5883.319924275081,6950.014115621646,3949.991272141536
bytecode_eq_branch_false,smoke,short_exact_trace,32,True,True,True,3.520003519952297e-05,3.5400036722421646e-05,4.0400074794888496e-05,2.2999942302703857e-05,6,6,6,6,5900.006120403607,6733.345799148083,3833.3237171173096
bytecode_call_add_halt,smoke,short_exact_trace,32,True,True,True,3.0399998649954796e-05,3.620004281401634e-05,4.12999652326107e-05,2.3300061002373695e-05,6,6,6,6,6033.340469002724,6883.327538768451,3883.3435003956156
bytecode_branch_then_call_true,smoke,short_exact_trace,32,True,True,True,6.19000056758523e-05,5.7699973694980145e-05,6.420002318918705e-05,3.5400036722421646e-05,10,10,10,10,5769.997369498014,6420.002318918705,3540.0036722421646
bytecode_branch_then_call_false,smoke,short_exact_trace,32,True,True,True,5.8900099247694016e-05,0.00010159995872527361,6.660004146397114e-05,3.670004662126303e-05,10,10,10,10,10159.995872527361,6660.004146397114,3670.0046621263027
bytecode_call_chain_smoke,smoke,short_exact_trace,32,True,True,True,5.040003452450037e-05,5.8299978263676167e-05,6.350001785904169e-05,3.469991497695446e-05,10,10,10,10,5829.997826367617,6350.001785904169,3469.991497695446
bytecode_static_memory_roundtrip,memory,short_exact_trace,32,True,True,True,1.780001912266016e-05,2.41999514400959e-05,2.8199981898069382e-05,1.6700010746717453e-05,4,4,4,4,6049.987860023975,7049.995474517345,4175.002686679363
bytecode_indirect_memory_roundtrip,memory,short_exact_trace,32,True,True,True,3.790005575865507e-05,3.620004281401634e-05,4.030007403343916e-05,2.2600055672228336e-05,6,6,6,6,6033.340469002724,6716.6790055731935,3766.6759453713894
bytecode_dynamic_latest_write,memory,medium_exact_trace,64,True,True,True,3.899994771927595e-05,5.049991887062788e-05,5.6200078688561916e-05,3.23000131174922e-05,9,9,9,9,5611.102096736431,6244.453187617991,3588.890346388022
