branch_id,candidate_id,lane_class,family,comparison_mode,base_program_name,seed_variant,unique_address_target,horizon_multiplier,checkpoint_depth,hot_address_skew,seed_id,base_start,scaled_start,base_max_steps,max_steps,base_reference_step_count,expected_reference_step_count,base_unique_address_count,padding_unique_count,flatten_rounds,padding_base_address,expected_padding_instruction_count,target_wrapper_call_depth,source_runtime_stage,base_runtime_stage,program_name,base_variant_program_name,runtime_seconds,ns_per_step,exact_trace_match,exact_final_state_match,first_mismatch_step,failure_reason,failure_class,exact,read_observation_count,memory_read_count,stack_read_count,reference_step_count,memory_operation_count,memory_load_count,memory_store_count,unique_address_count,hottest_address,hottest_address_share,failure_axis_tags,authorization_source_stage,execution_stage
candidate_core_checkpoint_replay_long_u32_h3p0_cplus_two_kflattened,candidate_core_checkpoint_replay_long_u32_h3p0_cplus_two_kflattened_seed0,candidate_core,checkpoint_replay_long,long_exact_final_state,bytecode_checkpoint_replay_long_100_a128,r19_admitted_address_anchor,32,3.0,plus_two,flattened,0,100,300,12800,46424,3126,17338,9,23,172,40000,7958,2,r22_d0_true_boundary_localization_gate,r19_d0_pointer_like_surface_generalization_gate,bytecode_checkpoint_replay_long_300_a128_r26_u32_h3p0_cplus_two_kflattened_seed0,bytecode_checkpoint_replay_long_300_a128,0.49783360003493726,28796.483111692345,True,True,,,,True,13199,2704,10495,17288,7892,2704,5188,32,128,0.15230613279270147,"long_family,high_unique_address_target,plus_two_checkpoint_depth,flattened_hot_address_target,low_hottest_address_share_observed",r30_d0_boundary_reauthorization_packet,r32_d0_family_local_boundary_sharp_zoom
candidate_core_checkpoint_replay_long_u32_h3p0_cplus_two_kflattened,candidate_core_checkpoint_replay_long_u32_h3p0_cplus_two_kflattened_seed1,candidate_core,checkpoint_replay_long,long_exact_final_state,bytecode_checkpoint_replay_long_100_a128,r19_heldout_address_anchor,32,3.0,plus_two,flattened,1,100,300,12800,46424,3126,17338,9,23,172,40016,7958,2,r22_d0_true_boundary_localization_gate,r19_d0_pointer_like_surface_generalization_gate,bytecode_checkpoint_replay_long_300_a144_r26_u32_h3p0_cplus_two_kflattened_seed1,bytecode_checkpoint_replay_long_300_a144,0.4185225000837818,24208.844289899454,True,True,,,,True,13199,2704,10495,17288,7892,2704,5188,32,144,0.15230613279270147,"long_family,high_unique_address_target,plus_two_checkpoint_depth,flattened_hot_address_target,low_hottest_address_share_observed",r30_d0_boundary_reauthorization_packet,r32_d0_family_local_boundary_sharp_zoom
unique_address_extension_checkpoint_replay_long_u36_h3p0_cplus_two_kflattened,unique_address_extension_checkpoint_replay_long_u36_h3p0_cplus_two_kflattened_seed0,unique_address_extension,checkpoint_replay_long,long_exact_final_state,bytecode_checkpoint_replay_long_100_a128,r19_admitted_address_anchor,36,3.0,plus_two,flattened,0,100,300,12800,46404,3126,17318,9,27,146,40064,7938,2,r22_d0_true_boundary_localization_gate,r19_d0_pointer_like_surface_generalization_gate,bytecode_checkpoint_replay_long_300_a128_r26_u36_h3p0_cplus_two_kflattened_seed0,bytecode_checkpoint_replay_long_300_a128,0.40391870005987585,23391.168639094038,True,True,,,,True,13189,2704,10485,17268,7882,2704,5178,36,128,0.15249936564323777,"long_family,high_unique_address_target,plus_two_checkpoint_depth,flattened_hot_address_target,low_hottest_address_share_observed",r30_d0_boundary_reauthorization_packet,r32_d0_family_local_boundary_sharp_zoom
unique_address_extension_checkpoint_replay_long_u36_h3p0_cplus_two_kflattened,unique_address_extension_checkpoint_replay_long_u36_h3p0_cplus_two_kflattened_seed1,unique_address_extension,checkpoint_replay_long,long_exact_final_state,bytecode_checkpoint_replay_long_100_a128,r19_heldout_address_anchor,36,3.0,plus_two,flattened,1,100,300,12800,46404,3126,17318,9,27,146,40080,7938,2,r22_d0_true_boundary_localization_gate,r19_d0_pointer_like_surface_generalization_gate,bytecode_checkpoint_replay_long_300_a144_r26_u36_h3p0_cplus_two_kflattened_seed1,bytecode_checkpoint_replay_long_300_a144,0.4594420000212267,26606.555479570692,True,True,,,,True,13189,2704,10485,17268,7882,2704,5178,36,144,0.15249936564323777,"long_family,high_unique_address_target,plus_two_checkpoint_depth,flattened_hot_address_target,low_hottest_address_share_observed",r30_d0_boundary_reauthorization_packet,r32_d0_family_local_boundary_sharp_zoom
unique_address_extension_checkpoint_replay_long_u40_h3p0_cplus_two_kflattened,unique_address_extension_checkpoint_replay_long_u40_h3p0_cplus_two_kflattened_seed0,unique_address_extension,checkpoint_replay_long,long_exact_final_state,bytecode_checkpoint_replay_long_100_a128,r19_admitted_address_anchor,40,3.0,plus_two,flattened,0,100,300,12800,46464,3126,17378,9,31,128,40128,7998,2,r22_d0_true_boundary_localization_gate,r19_d0_pointer_like_surface_generalization_gate,bytecode_checkpoint_replay_long_300_a128_r26_u40_h3p0_cplus_two_kflattened_seed0,bytecode_checkpoint_replay_long_300_a128,0.49209840002004057,28399.03047207067,True,True,,,,True,13219,2704,10515,17328,7912,2704,5208,40,128,0.1519211324570273,"long_family,high_unique_address_target,plus_two_checkpoint_depth,flattened_hot_address_target,low_hottest_address_share_observed",r30_d0_boundary_reauthorization_packet,r32_d0_family_local_boundary_sharp_zoom
unique_address_extension_checkpoint_replay_long_u40_h3p0_cplus_two_kflattened,unique_address_extension_checkpoint_replay_long_u40_h3p0_cplus_two_kflattened_seed1,unique_address_extension,checkpoint_replay_long,long_exact_final_state,bytecode_checkpoint_replay_long_100_a128,r19_heldout_address_anchor,40,3.0,plus_two,flattened,1,100,300,12800,46464,3126,17378,9,31,128,40144,7998,2,r22_d0_true_boundary_localization_gate,r19_d0_pointer_like_surface_generalization_gate,bytecode_checkpoint_replay_long_300_a144_r26_u40_h3p0_cplus_two_kflattened_seed1,bytecode_checkpoint_replay_long_300_a144,0.4690473999362439,27068.755767327093,True,True,,,,True,13219,2704,10515,17328,7912,2704,5208,40,144,0.1519211324570273,"long_family,high_unique_address_target,plus_two_checkpoint_depth,flattened_hot_address_target,low_hottest_address_share_observed",r30_d0_boundary_reauthorization_packet,r32_d0_family_local_boundary_sharp_zoom
horizon_extension_checkpoint_replay_long_u32_h3p5_cplus_two_kflattened,horizon_extension_checkpoint_replay_long_u32_h3p5_cplus_two_kflattened_seed0,horizon_extension,checkpoint_replay_long,long_exact_final_state,bytecode_checkpoint_replay_long_100_a128,r19_admitted_address_anchor,32,3.5,plus_two,flattened,0,100,350,12800,54112,3126,20189,9,23,200,40192,9246,2,r22_d0_true_boundary_localization_gate,r19_d0_pointer_like_surface_generalization_gate,bytecode_checkpoint_replay_long_350_a128_r26_u32_h3p5_cplus_two_kflattened_seed0,bytecode_checkpoint_replay_long_350_a128,0.584013200015761,29017.847561152787,True,True,,,,True,15375,3154,12221,20126,9186,3154,6032,32,128,0.15262355758763335,"long_family,high_unique_address_target,plus_two_checkpoint_depth,flattened_hot_address_target,low_hottest_address_share_observed",r30_d0_boundary_reauthorization_packet,r32_d0_family_local_boundary_sharp_zoom
horizon_extension_checkpoint_replay_long_u32_h3p5_cplus_two_kflattened,horizon_extension_checkpoint_replay_long_u32_h3p5_cplus_two_kflattened_seed1,horizon_extension,checkpoint_replay_long,long_exact_final_state,bytecode_checkpoint_replay_long_100_a128,r19_heldout_address_anchor,32,3.5,plus_two,flattened,1,100,350,12800,54112,3126,20189,9,23,200,40208,9246,2,r22_d0_true_boundary_localization_gate,r19_d0_pointer_like_surface_generalization_gate,bytecode_checkpoint_replay_long_350_a144_r26_u32_h3p5_cplus_two_kflattened_seed1,bytecode_checkpoint_replay_long_350_a144,0.6014290999155492,29883.19089315061,True,True,,,,True,15375,3154,12221,20126,9186,3154,6032,32,144,0.15262355758763335,"long_family,high_unique_address_target,plus_two_checkpoint_depth,flattened_hot_address_target,low_hottest_address_share_observed",r30_d0_boundary_reauthorization_packet,r32_d0_family_local_boundary_sharp_zoom
horizon_extension_checkpoint_replay_long_u32_h4p0_cplus_two_kflattened,horizon_extension_checkpoint_replay_long_u32_h4p0_cplus_two_kflattened_seed0,horizon_extension,checkpoint_replay_long,long_exact_final_state,bytecode_checkpoint_replay_long_100_a128,r19_admitted_address_anchor,32,4.0,plus_two,flattened,0,100,400,12800,61846,3126,23086,9,23,229,40256,10580,2,r22_d0_true_boundary_localization_gate,r19_d0_pointer_like_surface_generalization_gate,bytecode_checkpoint_replay_long_400_a128_r26_u32_h4p0_cplus_two_kflattened_seed0,bytecode_checkpoint_replay_long_400_a128,0.7687114999862388,33410.61804529897,True,True,,,,True,17574,3604,13970,23008,10503,3604,6899,32,128,0.15252784918594686,"long_family,high_unique_address_target,plus_two_checkpoint_depth,flattened_hot_address_target,low_hottest_address_share_observed",r30_d0_boundary_reauthorization_packet,r32_d0_family_local_boundary_sharp_zoom
horizon_extension_checkpoint_replay_long_u32_h4p0_cplus_two_kflattened,horizon_extension_checkpoint_replay_long_u32_h4p0_cplus_two_kflattened_seed1,horizon_extension,checkpoint_replay_long,long_exact_final_state,bytecode_checkpoint_replay_long_100_a128,r19_heldout_address_anchor,32,4.0,plus_two,flattened,1,100,400,12800,61846,3126,23086,9,23,229,40272,10580,2,r22_d0_true_boundary_localization_gate,r19_d0_pointer_like_surface_generalization_gate,bytecode_checkpoint_replay_long_400_a144_r26_u32_h4p0_cplus_two_kflattened_seed1,bytecode_checkpoint_replay_long_400_a144,0.7668344000121579,33329.03338022244,True,True,,,,True,17574,3604,13970,23008,10503,3604,6899,32,144,0.15252784918594686,"long_family,high_unique_address_target,plus_two_checkpoint_depth,flattened_hot_address_target,low_hottest_address_share_observed",r30_d0_boundary_reauthorization_packet,r32_d0_family_local_boundary_sharp_zoom
