branch_id,candidate_id,lane_class,family,comparison_mode,base_program_name,seed_variant,unique_address_target,horizon_multiplier,checkpoint_depth,hot_address_skew,seed_id,base_start,scaled_start,base_max_steps,max_steps,base_reference_step_count,expected_reference_step_count,base_unique_address_count,padding_unique_count,flatten_rounds,padding_base_address,expected_padding_instruction_count,target_wrapper_call_depth
candidate_core_checkpoint_replay_long_u32_h3p0_cplus_two_kflattened,candidate_core_checkpoint_replay_long_u32_h3p0_cplus_two_kflattened_seed0,candidate_core,checkpoint_replay_long,long_exact_final_state,bytecode_checkpoint_replay_long_100_a128,r19_admitted_address_anchor,32,3.0,plus_two,flattened,0,100,300,12800,46424,3126,17338,9,23,172,40000,7958,2
candidate_core_checkpoint_replay_long_u32_h3p0_cplus_two_kflattened,candidate_core_checkpoint_replay_long_u32_h3p0_cplus_two_kflattened_seed1,candidate_core,checkpoint_replay_long,long_exact_final_state,bytecode_checkpoint_replay_long_100_a128,r19_heldout_address_anchor,32,3.0,plus_two,flattened,1,100,300,12800,46424,3126,17338,9,23,172,40016,7958,2
unique_address_extension_checkpoint_replay_long_u36_h3p0_cplus_two_kflattened,unique_address_extension_checkpoint_replay_long_u36_h3p0_cplus_two_kflattened_seed0,unique_address_extension,checkpoint_replay_long,long_exact_final_state,bytecode_checkpoint_replay_long_100_a128,r19_admitted_address_anchor,36,3.0,plus_two,flattened,0,100,300,12800,46404,3126,17318,9,27,146,40064,7938,2
unique_address_extension_checkpoint_replay_long_u36_h3p0_cplus_two_kflattened,unique_address_extension_checkpoint_replay_long_u36_h3p0_cplus_two_kflattened_seed1,unique_address_extension,checkpoint_replay_long,long_exact_final_state,bytecode_checkpoint_replay_long_100_a128,r19_heldout_address_anchor,36,3.0,plus_two,flattened,1,100,300,12800,46404,3126,17318,9,27,146,40080,7938,2
unique_address_extension_checkpoint_replay_long_u40_h3p0_cplus_two_kflattened,unique_address_extension_checkpoint_replay_long_u40_h3p0_cplus_two_kflattened_seed0,unique_address_extension,checkpoint_replay_long,long_exact_final_state,bytecode_checkpoint_replay_long_100_a128,r19_admitted_address_anchor,40,3.0,plus_two,flattened,0,100,300,12800,46464,3126,17378,9,31,128,40128,7998,2
unique_address_extension_checkpoint_replay_long_u40_h3p0_cplus_two_kflattened,unique_address_extension_checkpoint_replay_long_u40_h3p0_cplus_two_kflattened_seed1,unique_address_extension,checkpoint_replay_long,long_exact_final_state,bytecode_checkpoint_replay_long_100_a128,r19_heldout_address_anchor,40,3.0,plus_two,flattened,1,100,300,12800,46464,3126,17378,9,31,128,40144,7998,2
horizon_extension_checkpoint_replay_long_u32_h3p5_cplus_two_kflattened,horizon_extension_checkpoint_replay_long_u32_h3p5_cplus_two_kflattened_seed0,horizon_extension,checkpoint_replay_long,long_exact_final_state,bytecode_checkpoint_replay_long_100_a128,r19_admitted_address_anchor,32,3.5,plus_two,flattened,0,100,350,12800,54112,3126,20189,9,23,200,40192,9246,2
horizon_extension_checkpoint_replay_long_u32_h3p5_cplus_two_kflattened,horizon_extension_checkpoint_replay_long_u32_h3p5_cplus_two_kflattened_seed1,horizon_extension,checkpoint_replay_long,long_exact_final_state,bytecode_checkpoint_replay_long_100_a128,r19_heldout_address_anchor,32,3.5,plus_two,flattened,1,100,350,12800,54112,3126,20189,9,23,200,40208,9246,2
horizon_extension_checkpoint_replay_long_u32_h4p0_cplus_two_kflattened,horizon_extension_checkpoint_replay_long_u32_h4p0_cplus_two_kflattened_seed0,horizon_extension,checkpoint_replay_long,long_exact_final_state,bytecode_checkpoint_replay_long_100_a128,r19_admitted_address_anchor,32,4.0,plus_two,flattened,0,100,400,12800,61846,3126,23086,9,23,229,40256,10580,2
horizon_extension_checkpoint_replay_long_u32_h4p0_cplus_two_kflattened,horizon_extension_checkpoint_replay_long_u32_h4p0_cplus_two_kflattened_seed1,horizon_extension,checkpoint_replay_long,long_exact_final_state,bytecode_checkpoint_replay_long_100_a128,r19_heldout_address_anchor,32,4.0,plus_two,flattened,1,100,400,12800,61846,3126,23086,9,23,229,40272,10580,2
checkpoint_depth_extension_checkpoint_replay_long_u32_h3p0_cplus_three_kflattened,checkpoint_depth_extension_checkpoint_replay_long_u32_h3p0_cplus_three_kflattened_seed0,checkpoint_depth_extension,checkpoint_replay_long,long_exact_final_state,bytecode_checkpoint_replay_long_100_a128,r19_admitted_address_anchor,32,3.0,plus_three,flattened,0,100,300,12800,46425,3126,17339,9,23,172,40320,7958,3
checkpoint_depth_extension_checkpoint_replay_long_u32_h3p0_cplus_three_kflattened,checkpoint_depth_extension_checkpoint_replay_long_u32_h3p0_cplus_three_kflattened_seed1,checkpoint_depth_extension,checkpoint_replay_long,long_exact_final_state,bytecode_checkpoint_replay_long_100_a128,r19_heldout_address_anchor,32,3.0,plus_three,flattened,1,100,300,12800,46425,3126,17339,9,23,172,40336,7958,3
candidate_core_helper_checkpoint_braid_long_u20_h3p0_cplus_two_kflattened,candidate_core_helper_checkpoint_braid_long_u20_h3p0_cplus_two_kflattened_seed0,candidate_core,helper_checkpoint_braid_long,long_exact_final_state,bytecode_helper_checkpoint_braid_long_180_a312_s0,r19_admitted_seed_anchor,20,3.0,plus_two,flattened,0,180,540,10240,43834,4788,27414,6,14,465,40384,13048,2
candidate_core_helper_checkpoint_braid_long_u20_h3p0_cplus_two_kflattened,candidate_core_helper_checkpoint_braid_long_u20_h3p0_cplus_two_kflattened_seed1,candidate_core,helper_checkpoint_braid_long,long_exact_final_state,bytecode_helper_checkpoint_braid_long_180_a312_s0,r19_heldout_seed_anchor,20,3.0,plus_two,flattened,1,180,540,10240,43834,4788,27414,6,14,465,40400,13048,2
unique_address_extension_helper_checkpoint_braid_long_u24_h3p0_cplus_two_kflattened,unique_address_extension_helper_checkpoint_braid_long_u24_h3p0_cplus_two_kflattened_seed0,unique_address_extension,helper_checkpoint_braid_long,long_exact_final_state,bytecode_helper_checkpoint_braid_long_180_a312_s0,r19_admitted_seed_anchor,24,3.0,plus_two,flattened,0,180,540,10240,43854,4788,27434,6,18,362,40448,13068,2
unique_address_extension_helper_checkpoint_braid_long_u24_h3p0_cplus_two_kflattened,unique_address_extension_helper_checkpoint_braid_long_u24_h3p0_cplus_two_kflattened_seed1,unique_address_extension,helper_checkpoint_braid_long,long_exact_final_state,bytecode_helper_checkpoint_braid_long_180_a312_s0,r19_heldout_seed_anchor,24,3.0,plus_two,flattened,1,180,540,10240,43854,4788,27434,6,18,362,40464,13068,2
unique_address_extension_helper_checkpoint_braid_long_u28_h3p0_cplus_two_kflattened,unique_address_extension_helper_checkpoint_braid_long_u28_h3p0_cplus_two_kflattened_seed0,unique_address_extension,helper_checkpoint_braid_long,long_exact_final_state,bytecode_helper_checkpoint_braid_long_180_a312_s0,r19_admitted_seed_anchor,28,3.0,plus_two,flattened,0,180,540,10240,43854,4788,27434,6,22,296,40512,13068,2
unique_address_extension_helper_checkpoint_braid_long_u28_h3p0_cplus_two_kflattened,unique_address_extension_helper_checkpoint_braid_long_u28_h3p0_cplus_two_kflattened_seed1,unique_address_extension,helper_checkpoint_braid_long,long_exact_final_state,bytecode_helper_checkpoint_braid_long_180_a312_s0,r19_heldout_seed_anchor,28,3.0,plus_two,flattened,1,180,540,10240,43854,4788,27434,6,22,296,40528,13068,2
horizon_extension_helper_checkpoint_braid_long_u20_h3p5_cplus_two_kflattened,horizon_extension_helper_checkpoint_braid_long_u20_h3p5_cplus_two_kflattened_seed0,horizon_extension,helper_checkpoint_braid_long,long_exact_final_state,bytecode_helper_checkpoint_braid_long_180_a312_s0,r19_admitted_seed_anchor,20,3.5,plus_two,flattened,0,180,630,10240,51110,4788,31964,6,14,542,40576,15204,2
horizon_extension_helper_checkpoint_braid_long_u20_h3p5_cplus_two_kflattened,horizon_extension_helper_checkpoint_braid_long_u20_h3p5_cplus_two_kflattened_seed1,horizon_extension,helper_checkpoint_braid_long,long_exact_final_state,bytecode_helper_checkpoint_braid_long_180_a312_s0,r19_heldout_seed_anchor,20,3.5,plus_two,flattened,1,180,630,10240,51110,4788,31964,6,14,542,40592,15204,2
horizon_extension_helper_checkpoint_braid_long_u20_h4p0_cplus_two_kflattened,horizon_extension_helper_checkpoint_braid_long_u20_h4p0_cplus_two_kflattened_seed0,horizon_extension,helper_checkpoint_braid_long,long_exact_final_state,bytecode_helper_checkpoint_braid_long_180_a312_s0,r19_admitted_seed_anchor,20,4.0,plus_two,flattened,0,180,720,10240,58414,4788,36542,6,14,620,40640,17388,2
horizon_extension_helper_checkpoint_braid_long_u20_h4p0_cplus_two_kflattened,horizon_extension_helper_checkpoint_braid_long_u20_h4p0_cplus_two_kflattened_seed1,horizon_extension,helper_checkpoint_braid_long,long_exact_final_state,bytecode_helper_checkpoint_braid_long_180_a312_s0,r19_heldout_seed_anchor,20,4.0,plus_two,flattened,1,180,720,10240,58414,4788,36542,6,14,620,40656,17388,2
checkpoint_depth_extension_helper_checkpoint_braid_long_u20_h3p0_cplus_three_kflattened,checkpoint_depth_extension_helper_checkpoint_braid_long_u20_h3p0_cplus_three_kflattened_seed0,checkpoint_depth_extension,helper_checkpoint_braid_long,long_exact_final_state,bytecode_helper_checkpoint_braid_long_180_a312_s0,r19_admitted_seed_anchor,20,3.0,plus_three,flattened,0,180,540,10240,43835,4788,27415,6,14,465,40704,13048,3
